,label,dim_0,dim_1,layer,fold,text,iteration
54,London,-1.062924861907959,-0.7587721943855286,average,dev,What is the capital and largest city of england,10
55,London,0.2838622033596039,-0.3665214776992798,output,dev,What is the capital and largest city of england,10
56,Rouble,-0.2859944999217987,-0.06951570510864258,average,dev,What 's the currency in russia,10
57,Rouble,1.1986794471740723,-0.2932804822921753,output,dev,What 's the currency in russia,10
58,Pound,0.8411880731582642,0.2127944827079773,average,dev,What 's the currency in england,10
59,Pound,1.1862677335739136,-0.22050738334655762,output,dev,What 's the currency in england,10
60,Moscow,0.1648291051387787,-0.4815080165863037,average,dev,What 's the capital of russia,10
61,Moscow,0.7328541278839111,-0.7585345506668091,output,dev,What 's the capital of russia,10
62,London,1.2920117378234863,-0.19919782876968384,average,dev,What 's the capital of england,10
63,London,0.7549549341201782,-0.547391414642334,output,dev,What 's the capital of england,10
64,Rouble,-4.625399112701416,0.08075407147407532,average,train,What is this currency of russia,20
65,Rouble,0.9877738952636719,-0.44810760021209717,output,train,What is this currency of russia,20
66,Pound,-3.4782164096832275,0.3650640547275543,average,train,What is this currency of england,20
67,Pound,0.6372634172439575,-0.05825129151344299,output,train,What is this currency of england,20
68,Moscow,-4.106396675109863,-1.2518072128295898,average,train,What is this capital of russia,20
69,Moscow,0.5418590307235718,-0.8107858896255493,output,train,What is this capital of russia,20
70,London,-2.959213972091675,-0.9674972295761108,average,train,What is this capital of england,20
71,London,0.35049083828926086,-0.36100006103515625,output,train,What is this capital of england,20
72,Rouble,0.8871538639068604,-0.7231013774871826,average,train,What 's russia 's currency,20
73,Rouble,1.3987993001937866,-0.13432016968727112,output,train,What 's russia 's currency,20
74,Pound,2.0343363285064697,-0.4387914538383484,average,train,What 's england 's currency,20
75,Pound,1.2949954271316528,0.14086008071899414,output,train,What 's england 's currency,20
76,Moscow,1.406156301498413,-2.0556626319885254,average,train,What 's russia 's capital,20
77,Moscow,0.5280430912971497,-0.5196504592895508,output,train,What 's russia 's capital,20
78,London,2.5533387660980225,-1.771352767944336,average,train,What 's england 's capital,20
79,London,0.5510950088500977,-0.11271458864212036,output,train,What 's england 's capital,20
80,Rouble,-2.6289308071136475,-0.609089732170105,average,dev,What currency is used in russia,20
81,Rouble,0.7004050016403198,-0.31649672985076904,output,dev,What currency is used in russia,20
82,Pound,-1.481748342514038,-0.324779748916626,average,dev,What currency is used in england,20
83,Pound,0.3311590850353241,-0.18139633536338806,output,dev,What currency is used in england,20
84,Moscow,-2.1801071166992188,-0.9970817565917969,average,dev,What is the capital and largest city of russia,20
85,Moscow,0.3791179955005646,-0.8243779540061951,output,dev,What is the capital and largest city of russia,20
86,London,-1.0329246520996094,-0.7127718329429626,average,dev,What is the capital and largest city of england,20
87,London,0.189772367477417,-0.4069454073905945,output,dev,What is the capital and largest city of england,20
88,Rouble,-0.2899949848651886,-0.061515241861343384,average,dev,What 's the currency in russia,20
89,Rouble,1.0583359003067017,-0.27932894229888916,output,dev,What 's the currency in russia,20
90,Pound,0.8571875095367432,0.22279468178749084,average,dev,What 's the currency in england,20
91,Pound,1.0086876153945923,-0.06507784128189087,output,dev,What 's the currency in england,20
92,Moscow,0.15882879495620728,-0.44950729608535767,average,dev,What 's the capital of russia,20
93,Moscow,0.5461164712905884,-0.8711140155792236,output,dev,What 's the capital of russia,20
94,London,1.3060111999511719,-0.16519737243652344,average,dev,What 's the capital of england,20
95,London,0.536353588104248,-0.5597488880157471,output,dev,What 's the capital of england,20
96,Rouble,-4.59539794921875,0.12275436520576477,average,train,What is this currency of russia,30
97,Rouble,0.9126144647598267,-0.39880239963531494,output,train,What is this currency of russia,30
98,Pound,-3.428215503692627,0.40506425499916077,average,train,What is this currency of england,30
99,Pound,0.5824125409126282,0.09145134687423706,output,train,What is this currency of england,30
100,Moscow,-4.086395263671875,-1.2018067836761475,average,train,What is this capital of russia,30
101,Moscow,0.4333467483520508,-0.8866833448410034,output,train,What is this capital of russia,30
102,London,-2.919213056564331,-0.9194968342781067,average,train,What is this capital of england,30
103,London,0.22572650015354156,-0.4010915458202362,output,train,What is this capital of england,30
104,Rouble,0.8791534900665283,-0.7091012001037598,average,train,What 's russia 's currency,30
105,Rouble,1.2686636447906494,-0.12743546068668365,output,train,What 's russia 's currency,30
106,Pound,2.0463356971740723,-0.42679136991500854,average,train,What 's england 's currency,30
107,Pound,1.1752965450286865,0.2646821439266205,output,train,What 's england 's currency,30
108,Moscow,1.3881560564041138,-2.0336623191833496,average,train,What 's russia 's capital,30
109,Moscow,0.3841269016265869,-0.6671088933944702,output,train,What 's russia 's capital,30
110,London,2.555338144302368,-1.751352310180664,average,train,What 's england 's capital,30
111,London,0.3702351450920105,-0.18174122273921967,output,train,What 's england 's capital,30
112,Rouble,-2.6189303398132324,-0.583089292049408,average,dev,What currency is used in russia,30
113,Rouble,0.6632300615310669,-0.2949674129486084,output,dev,What currency is used in russia,30
114,Pound,-1.4517481327056885,-0.30077940225601196,average,dev,What currency is used in england,30
115,Pound,0.3154808282852173,-0.07950189709663391,output,dev,What currency is used in england,30
116,Moscow,-2.1701064109802246,-0.9550812244415283,average,dev,What is the capital and largest city of russia,30
117,Moscow,0.2959524393081665,-0.9034984111785889,output,dev,What is the capital and largest city of russia,30
118,London,-1.0029243230819702,-0.6727713942527771,average,dev,What is the capital and largest city of england,30
119,London,0.0983385369181633,-0.4625663757324219,output,dev,What is the capital and largest city of england,30
120,Rouble,-0.2939951419830322,-0.04551514983177185,average,dev,What 's the currency in russia,30
121,Rouble,0.9865080714225769,-0.29318881034851074,output,dev,What 's the currency in russia,30
122,Pound,0.8731871843338013,0.23679468035697937,average,dev,What 's the currency in england,30
123,Pound,0.9270082712173462,0.051419347524642944,output,dev,What 's the currency in england,30
124,Moscow,0.15482866764068604,-0.4175071120262146,average,dev,What 's the capital of russia,30
125,Moscow,0.4236952066421509,-0.9882839918136597,output,dev,What 's the capital of russia,30
126,London,1.3220109939575195,-0.13519728183746338,average,dev,What 's the capital of england,30
127,London,0.40760505199432373,-0.602907657623291,output,dev,What 's the capital of england,30
128,Rouble,-4.565397262573242,0.1747545748949051,average,train,What is this currency of russia,40
129,Rouble,0.7804054021835327,-0.351101279258728,output,train,What is this currency of russia,40
130,Pound,-3.3782150745391846,0.4550643563270569,average,train,What is this currency of england,40
131,Pound,0.4891083538532257,0.26053351163864136,output,train,What is this currency of england,40
132,Moscow,-4.070394515991211,-1.1438062191009521,average,train,What is this capital of russia,40
133,Moscow,0.2980107367038727,-0.973339319229126,output,train,What is this capital of russia,40
134,London,-2.8832125663757324,-0.8634963631629944,average,train,What is this capital of england,40
135,London,0.0928594321012497,-0.4384487271308899,output,train,What is this capital of england,40
136,Rouble,0.8771529793739319,-0.6751013994216919,average,train,What 's russia 's currency,40
137,Rouble,1.0660760402679443,-0.14233611524105072,output,train,What 's russia 's currency,40
138,Pound,2.0643348693847656,-0.3947915732860565,average,train,What 's england 's currency,40
139,Pound,1.0224965810775757,0.42724931240081787,output,train,What 's england 's currency,40
140,Moscow,1.3721555471420288,-1.9936621189117432,average,train,What 's russia 's capital,40
141,Moscow,0.19408747553825378,-0.8570963740348816,output,train,What 's russia 's capital,40
142,London,2.559337615966797,-1.7133522033691406,average,train,What 's england 's capital,40
143,London,0.1489003598690033,-0.2502893805503845,output,train,What 's england 's capital,40
144,Rouble,-2.6049299240112305,-0.5510889291763306,average,dev,What currency is used in russia,40
145,Rouble,0.5806463956832886,-0.2742369771003723,output,dev,What currency is used in russia,40
146,Pound,-1.417747974395752,-0.2707791328430176,average,dev,What currency is used in england,40
147,Pound,0.27615779638290405,0.05572402477264404,output,dev,What currency is used in england,40
148,Moscow,-2.1621060371398926,-0.9070806503295898,average,dev,What is the capital and largest city of russia,40
149,Moscow,0.18072214722633362,-0.9914882183074951,output,dev,What is the capital and largest city of russia,40
150,London,-0.9749241471290588,-0.6267708539962769,average,dev,What is the capital and largest city of england,40
151,London,-0.008994996547698975,-0.5100576877593994,output,dev,What is the capital and largest city of england,40
152,Rouble,-0.2919953465461731,-0.01751522719860077,average,dev,What 's the currency in russia,40
153,Rouble,0.8614429235458374,-0.3236108422279358,output,dev,What 's the currency in russia,40
154,Pound,0.8951866626739502,0.262794554233551,average,dev,What 's the currency in england,40
155,Pound,0.8214465379714966,0.1875128149986267,output,dev,What 's the currency in england,40
156,Moscow,0.15082848072052002,-0.37350696325302124,average,dev,What 's the capital of russia,40
157,Moscow,0.24527773261070251,-1.1336419582366943,output,dev,What 's the capital of russia,40
158,London,1.338010549545288,-0.09319722652435303,average,dev,What 's the capital of england,40
159,London,0.2553681433200836,-0.6834524273872375,output,dev,What 's the capital of england,40
160,Rouble,-4.5493974685668945,0.20075514912605286,average,train,What is this currency of russia,50
161,Rouble,0.6937347650527954,-0.3253336548805237,output,train,What is this currency of russia,50
162,Pound,-3.3462159633636475,0.4810648262500763,average,train,What is this currency of england,50
163,Pound,0.4653888940811157,0.37970754504203796,output,train,What is this currency of england,50
164,Moscow,-4.052394866943359,-1.107805609703064,average,train,What is this capital of russia,50
165,Moscow,0.13345050811767578,-1.0696494579315186,output,train,What is this capital of russia,50
166,London,-2.8492133617401123,-0.8274959325790405,average,train,What is this capital of england,50
167,London,-0.05506783723831177,-0.5004972219467163,output,train,What is this capital of england,50
168,Rouble,0.8711531758308411,-0.6751013994216919,average,train,What 's russia 's currency,50
169,Rouble,0.9911372661590576,-0.07037970423698425,output,train,What 's russia 's currency,50
170,Pound,2.0743348598480225,-0.3947918117046356,average,train,What 's england 's currency,50
171,Pound,0.9911144971847534,0.6026319265365601,output,train,What 's england 's currency,50
172,Moscow,1.3681557178497314,-1.9836621284484863,average,train,What 's russia 's capital,50
173,Moscow,0.04080110788345337,-0.921657919883728,output,train,What 's russia 's capital,50
174,London,2.5713374614715576,-1.703352451324463,average,train,What 's england 's capital,50
175,London,1.7881393432617188e-06,-0.2501235008239746,output,train,What 's england 's capital,50
176,Rouble,-2.6009297370910645,-0.5370885133743286,average,dev,What currency is used in russia,50
177,Rouble,0.5451041460037231,-0.25013941526412964,output,dev,What currency is used in russia,50
178,Pound,-1.3977482318878174,-0.2567789554595947,average,dev,What currency is used in england,50
179,Pound,0.25999289751052856,0.18332260847091675,output,dev,What currency is used in england,50
180,Moscow,-2.150106430053711,-0.8770802021026611,average,dev,What is the capital and largest city of russia,50
181,Moscow,0.05290406942367554,-1.071872353553772,output,dev,What is the capital and largest city of russia,50
182,London,-0.9469246864318848,-0.5967706441879272,average,dev,What is the capital and largest city of england,50
183,London,-0.11557808518409729,-0.5645702481269836,output,dev,What is the capital and largest city of england,50
184,Rouble,-0.2959951162338257,-0.013515293598175049,average,dev,What 's the currency in russia,50
185,Rouble,0.8399269580841064,-0.31635087728500366,output,dev,What 's the currency in russia,50
186,Pound,0.9071865677833557,0.26679426431655884,average,dev,What 's the currency in england,50
187,Pound,0.8027611374855042,0.3172258138656616,output,dev,What 's the currency in england,50
188,Moscow,0.15482833981513977,-0.3535069227218628,average,dev,What 's the capital of russia,50
189,Moscow,0.10805010795593262,-1.2184343338012695,output,dev,What 's the capital of russia,50
190,London,1.358009934425354,-0.0731973648071289,average,dev,What 's the capital of england,50
191,London,0.13278141617774963,-0.6986784934997559,output,dev,What 's the capital of england,50
192,Rouble,-4.555397033691406,0.24475538730621338,average,train,What is this currency of russia,60
193,Rouble,0.6645230054855347,-0.22827962040901184,output,train,What is this currency of russia,60
194,Pound,-3.3322155475616455,0.5250649452209473,average,train,What is this currency of england,60
195,Pound,0.45408934354782104,0.5366040468215942,output,train,What is this currency of england,60
196,Moscow,-4.048394680023193,-1.0618051290512085,average,train,What is this capital of russia,60
197,Moscow,0.0462135374546051,-1.0979583263397217,output,train,What is this capital of russia,60
198,London,-2.8252131938934326,-0.7814955711364746,average,train,What is this capital of england,60
199,London,-0.16318747401237488,-0.49838370084762573,output,train,What is this capital of england,60
200,Rouble,0.8411528468132019,-0.6511015295982361,average,train,What 's russia 's currency,60
201,Rouble,0.8697065114974976,-0.13358700275421143,output,train,What 's russia 's currency,60
202,Pound,2.0643343925476074,-0.3707919716835022,average,train,What 's england 's currency,60
203,Pound,0.8835890293121338,0.6017966270446777,output,train,What 's england 's currency,60
204,Moscow,1.3481552600860596,-1.9576621055603027,average,train,What 's russia 's capital,60
205,Moscow,-0.11485663056373596,-1.0778087377548218,output,train,What 's russia 's capital,60
206,London,2.5713367462158203,-1.6773524284362793,average,train,What 's england 's capital,60
207,London,-0.20815396308898926,-0.41328614950180054,output,train,What 's england 's capital,60
208,Rouble,-2.614929676055908,-0.5090882778167725,average,dev,What currency is used in russia,60
209,Rouble,0.534153938293457,-0.20673386752605438,output,dev,What currency is used in russia,60
210,Pound,-1.3917481899261475,-0.22877871990203857,average,dev,What currency is used in england,60
211,Pound,0.22559432685375214,0.3123434782028198,output,dev,What currency is used in england,60
212,Moscow,-2.150106191635132,-0.8390797972679138,average,dev,What is the capital and largest city of russia,60
213,Moscow,-0.022162824869155884,-1.1052778959274292,output,dev,What is the capital and largest city of russia,60
214,London,-0.9269246459007263,-0.5587702393531799,average,dev,What is the capital and largest city of england,60
215,London,-0.20441368222236633,-0.5824921131134033,output,dev,What is the capital and largest city of england,60
216,Rouble,-0.31999528408050537,0.00848458707332611,average,dev,What 's the currency in russia,60
217,Rouble,0.7853280305862427,-0.34256038069725037,output,dev,What 's the currency in russia,60
218,Pound,0.9031859636306763,0.2887941598892212,average,dev,What 's the currency in england,60
219,Pound,0.7744300365447998,0.3859771490097046,output,dev,What 's the currency in england,60
220,Moscow,0.1448281705379486,-0.32150691747665405,average,dev,What 's the capital of russia,60
221,Moscow,-0.019114822149276733,-1.30622398853302,output,dev,What 's the capital of russia,60
222,London,1.3680094480514526,-0.04119741916656494,average,dev,What 's the capital of england,60
223,London,-0.004444748163223267,-0.7987887859344482,output,dev,What 's the capital of england,60
224,Rouble,-4.5373969078063965,0.2587558925151825,average,train,What is this currency of russia,70
225,Rouble,0.5831543207168579,-0.16589239239692688,output,train,What is this currency of russia,70
226,Pound,-3.298215627670288,0.5310654640197754,average,train,What is this currency of england,70
227,Pound,0.40085697174072266,0.6341020464897156,output,train,What is this currency of england,70
228,Moscow,-4.0273942947387695,-1.0488046407699585,average,train,What is this capital of russia,70
229,Moscow,-0.09774166345596313,-1.0994725227355957,output,train,What is this capital of russia,70
230,London,-2.7882132530212402,-0.776495099067688,average,train,What is this capital of england,70
231,London,-0.28958559036254883,-0.49218225479125977,output,train,What is this capital of england,70
232,Rouble,0.8411528468132019,-0.6511017084121704,average,train,What 's russia 's currency,70
233,Rouble,0.6962060332298279,-0.05986201763153076,output,train,What 's russia 's currency,70
234,Pound,2.080334186553955,-0.3787921667098999,average,train,What 's england 's currency,70
235,Pound,0.7137081623077393,0.7292481660842896,output,train,What 's england 's currency,70
236,Moscow,1.3511552810668945,-1.9586622714996338,average,train,What 's russia 's capital,70
237,Moscow,-0.2765094041824341,-1.087626576423645,output,train,What 's russia 's capital,70
238,London,2.590336561203003,-1.6863527297973633,average,train,What 's england 's capital,70
239,London,-0.4160618782043457,-0.39898940920829773,output,train,What 's england 's capital,70
240,Rouble,-2.60892915725708,-0.4990880489349365,average,dev,What currency is used in russia,70
241,Rouble,0.4922447204589844,-0.17516371607780457,output,dev,What currency is used in russia,70
242,Pound,-1.3697481155395508,-0.22677850723266602,average,dev,What currency is used in england,70
243,Pound,0.18805068731307983,0.40907907485961914,output,dev,What currency is used in england,70
244,Moscow,-2.135106086730957,-0.8280795216560364,average,dev,What is the capital and largest city of russia,70
245,Moscow,-0.13891834020614624,-1.127474308013916,output,dev,What is the capital and largest city of russia,70
246,London,-0.8959248065948486,-0.5557699799537659,average,dev,What is the capital and largest city of england,70
247,London,-0.30587607622146606,-0.5839062929153442,output,dev,What is the capital and largest city of england,70
248,Rouble,-0.3199951946735382,0.012484371662139893,average,dev,What 's the currency in russia,70
249,Rouble,0.6745941042900085,-0.28483375906944275,output,dev,What 's the currency in russia,70
250,Pound,0.9191858768463135,0.2847939133644104,average,dev,What 's the currency in england,70
251,Pound,0.6792622804641724,0.5133803486824036,output,dev,What 's the currency in england,70
252,Moscow,0.15382811427116394,-0.31650710105895996,average,dev,What 's the capital of russia,70
253,Moscow,-0.17940574884414673,-1.3452849388122559,output,dev,What 's the capital of russia,70
254,London,1.3930091857910156,-0.04419755935668945,average,dev,What 's the capital of england,70
255,London,-0.16973719000816345,-0.7843281030654907,output,dev,What 's the capital of england,70
256,Rouble,-4.532397747039795,0.25175631046295166,average,train,What is this currency of russia,80
257,Rouble,0.5838119983673096,-0.16754403710365295,output,train,What is this currency of russia,80
258,Pound,-3.282216787338257,0.5190658569335938,average,train,What is this currency of england,80
259,Pound,0.42164722084999084,0.6895549893379211,output,train,What is this currency of england,80
260,Moscow,-4.025395393371582,-1.0568040609359741,average,train,What is this capital of russia,80
261,Moscow,-0.1489461362361908,-1.1093999147415161,output,train,What is this capital of russia,80
262,London,-2.775214195251465,-0.7894945740699768,average,train,What is this capital of england,80
263,London,-0.3330986201763153,-0.4762646555900574,output,train,What is this capital of england,80
264,Rouble,0.8541523814201355,-0.6661015152931213,average,train,What 's russia 's currency,80
265,Rouble,0.646291196346283,0.14577984809875488,output,train,What 's russia 's currency,80
266,Pound,2.1043334007263184,-0.39879193902015686,average,train,What 's england 's currency,80
267,Pound,0.6958404779434204,0.9638270139694214,output,train,What 's england 's currency,80
268,Moscow,1.3611550331115723,-1.9746618270874023,average,train,What 's russia 's capital,80
269,Moscow,-0.36686083674430847,-0.97381591796875,output,train,What 's russia 's capital,80
270,London,2.6113359928131104,-1.7073521614074707,average,train,What 's england 's capital,80
271,London,-0.44333407282829285,-0.23160532116889954,output,train,What 's england 's capital,80
272,Rouble,-2.6039302349090576,-0.5060877799987793,average,dev,What currency is used in russia,80
273,Rouble,0.4992356598377228,-0.16044816374778748,output,dev,What currency is used in russia,80
274,Pound,-1.35374915599823,-0.2387782335281372,average,dev,What currency is used in england,80
275,Pound,0.17254813015460968,0.5112717151641846,output,dev,What currency is used in england,80
276,Moscow,-2.1331067085266113,-0.8360790610313416,average,dev,What is the capital and largest city of russia,80
277,Moscow,-0.1911725103855133,-1.1003732681274414,output,dev,What is the capital and largest city of russia,80
278,London,-0.8829258680343628,-0.5687694549560547,average,dev,What is the capital and largest city of england,80
279,London,-0.338548868894577,-0.557498574256897,output,dev,What is the capital and largest city of england,80
280,Rouble,-0.31099581718444824,0.0014845430850982666,average,dev,What 's the currency in russia,80
281,Rouble,0.6333552598953247,-0.14754325151443481,output,dev,What 's the currency in russia,80
282,Pound,0.9391852021217346,0.26879414916038513,average,dev,What 's the currency in england,80
283,Pound,0.6409426927566528,0.6533559560775757,output,dev,What 's the currency in england,80
284,Moscow,0.1598275601863861,-0.3285067081451416,average,dev,What 's the capital of russia,80
285,Moscow,-0.22972628474235535,-1.2835006713867188,output,dev,What 's the capital of russia,80
286,London,1.4100086688995361,-0.06119704246520996,average,dev,What 's the capital of england,80
287,London,-0.2056315839290619,-0.6622804403305054,output,dev,What 's the capital of england,80
288,Rouble,-4.530397891998291,0.2457561045885086,average,train,What is this currency of russia,90
289,Rouble,0.5490732192993164,-0.09993772208690643,output,train,What is this currency of russia,90
290,Pound,-3.273216724395752,0.5080656409263611,average,train,What is this currency of england,90
291,Pound,0.3915118873119354,0.748694658279419,output,train,What is this currency of england,90
292,Moscow,-4.023395538330078,-1.0648044347763062,average,train,What is this capital of russia,90
293,Moscow,-0.18659764528274536,-1.050951361656189,output,train,What is this capital of russia,90
294,London,-2.76621413230896,-0.8024948835372925,average,train,What is this capital of england,90
295,London,-0.3680725693702698,-0.42632779479026794,output,train,What is this capital of england,90
296,Rouble,0.8461522459983826,-0.6621014475822449,average,train,What 's russia 's currency,90
297,Rouble,0.6135895252227783,0.12345558404922485,output,train,What 's russia 's currency,90
298,Pound,2.1033332347869873,-0.3997918665409088,average,train,What 's england 's currency,90
299,Pound,0.6752485632896423,0.9427729845046997,output,train,What 's england 's currency,90
300,Moscow,1.3531548976898193,-1.9726619720458984,average,train,What 's russia 's capital,90
301,Moscow,-0.3755609393119812,-0.9874638319015503,output,train,What 's russia 's capital,90
302,London,2.6103358268737793,-1.7103524208068848,average,train,What 's england 's capital,90
303,London,-0.46779417991638184,-0.2602297365665436,output,train,What 's england 's capital,90
304,Rouble,-2.6059300899505615,-0.5080879926681519,average,dev,What currency is used in russia,90
305,Rouble,0.4780569076538086,-0.12569546699523926,output,dev,What currency is used in russia,90
306,Pound,-1.3487491607666016,-0.2457783818244934,average,dev,What currency is used in england,90
307,Pound,0.15177196264266968,0.5375638008117676,output,dev,What currency is used in england,90
308,Moscow,-2.1331067085266113,-0.8420792818069458,average,dev,What is the capital and largest city of russia,90
309,Moscow,-0.21150916814804077,-1.0802494287490845,output,dev,What is the capital and largest city of russia,90
310,London,-0.8759257793426514,-0.5797697305679321,average,dev,What is the capital and largest city of england,90
311,London,-0.364984393119812,-0.5209423303604126,output,dev,What is the capital and largest city of england,90
312,Rouble,-0.31699585914611816,0.003484591841697693,average,dev,What 's the currency in russia,90
313,Rouble,0.6091507077217102,-0.1495809257030487,output,dev,What 's the currency in russia,90
314,Pound,0.9401851296424866,0.26579421758651733,average,dev,What 's the currency in england,90
315,Pound,0.6283512115478516,0.6510038375854492,output,dev,What 's the currency in england,90
316,Moscow,0.15582749247550964,-0.33050674200057983,average,dev,What 's the capital of russia,90
317,Moscow,-0.26005983352661133,-1.277427077293396,output,dev,What 's the capital of russia,90
318,London,1.413008451461792,-0.06819713115692139,average,dev,What 's the capital of england,90
319,London,-0.21714532375335693,-0.6694178581237793,output,dev,What 's the capital of england,90
320,Rouble,-4.528397560119629,0.23375602066516876,average,train,What is this currency of russia,100
321,Rouble,0.5667318105697632,-0.08561911433935165,output,train,What is this currency of russia,100
322,Pound,-3.265216588973999,0.4920657277107239,average,train,What is this currency of england,100
323,Pound,0.38919705152511597,0.7645442485809326,output,train,What is this currency of england,100
324,Moscow,-4.022395133972168,-1.077804446220398,average,train,What is this capital of russia,100
325,Moscow,-0.16793011128902435,-1.0323431491851807,output,train,What is this capital of russia,100
326,London,-2.759214162826538,-0.8194947242736816,average,train,What is this capital of england,100
327,London,-0.36093437671661377,-0.3985520601272583,output,train,What is this capital of england,100
328,Rouble,0.8471524715423584,-0.6671013832092285,average,train,What 's russia 's currency,100
329,Rouble,0.5901471972465515,0.15351717174053192,output,train,What 's russia 's currency,100
330,Pound,2.1103334426879883,-0.40879178047180176,average,train,What 's england 's currency,100
331,Pound,0.6508090496063232,0.9631971120834351,output,train,What 's england 's currency,100
332,Moscow,1.3531548976898193,-1.9786620140075684,average,train,What 's russia 's capital,100
333,Moscow,-0.3922252655029297,-0.9606091380119324,output,train,What 's russia 's capital,100
334,London,2.616335868835449,-1.720352292060852,average,train,What 's england 's capital,100
335,London,-0.4715905785560608,-0.23136284947395325,output,train,What 's england 's capital,100
336,Rouble,-2.6059298515319824,-0.5140880346298218,average,dev,What currency is used in russia,100
337,Rouble,0.4857964515686035,-0.12122786045074463,output,dev,What currency is used in russia,100
338,Pound,-1.3427491188049316,-0.255778431892395,average,dev,What currency is used in england,100
339,Pound,0.14067959785461426,0.5538023114204407,output,dev,What currency is used in england,100
340,Moscow,-2.1331069469451904,-0.8520793318748474,average,dev,What is the capital and largest city of russia,100
